task_id,status,duration_s,score,llm_calls,input_tokens,cached_input_tokens,output_tokens,cost_usd
bu2-005,completed,680,100,116,562003,11423083,69619,1.5393
bu2-015,completed,698,100,76,400742,5722186,86266,1.0532
bu2-025,completed,387,100,59,344137,4785264,69893,0.8791
bu2-035,completed,228,94,34,210403,2327687,36525,0.4693
bu2-045,completed,562,100,85,412136,7144043,75509,1.1281
bu2-055,completed,526,100,102,484988,8476271,106382,1.3984
bu2-065,completed,263,100,27,161097,985564,34778,0.3252
bu2-075,completed,191,35,51,235976,2347180,19922,0.4277
bu2-085,completed,273,100,45,218993,2494792,47993,0.5313
bu2-095,completed,1231,100,58,308029,6068152,72042,0.9563
bu2-105,completed,477,100,64,297362,3661168,81736,0.8041
bu2-115,completed,590,82,47,379079,5284269,104496,1.0725
bu2-125,completed,596,100,105,486624,7996531,65013,1.2085
bu2-135,completed,179,47,39,170576,1697082,32232,0.3761
bu2-145,completed,433,100,113,549138,7906489,60171,1.2305
bu2-155,completed,242,100,49,369506,2992782,39462,0.6496
bu2-165,timeout,831,37,82,564953,6510749,51224,1.1041
bu2-175,completed,543,100,74,436937,8412188,86055,1.2813
bu2-185,completed,244,32,53,424722,6052894,20615,0.8498
bu2-195,completed,566,85,61,370795,6224477,108932,1.1534
