task_id,shard_run,status,note,score,perfect,rubric_met,rubric_violated,rubric_not_assessable,reward_hacking_zeroed,duration_s,llm_calls,input_tokens,cached_input_tokens,output_tokens,cost_usd
bu2-001,36096705033,completed,,53.0,False,6,4,0,False,354,62,287233,3797217,55660,0.7089
bu2-002,,not_run,site unreachable (DNS) on run day,0,False,,,,,,,,,,
bu2-003,36096708582,completed,,0,False,4,6,0,True,529,32,182006,1533029,51645,0.4452
bu2-004,36096710776,completed,,72.0,False,7,3,0,False,418,51,250719,2775492,47160,0.5731
bu2-005,36096712824,completed,,60.0,False,6,3,0,False,544,93,470851,9506873,63002,1.3024
bu2-006,36096705033,completed,,60.0,False,8,3,0,False,376,79,449160,4818456,58375,0.9172
bu2-007,36096706903,completed,,0,False,4,6,0,True,570,52,259965,3442232,65291,0.698
bu2-008,36096708582,completed,,68.0,False,8,2,0,False,493,68,377123,4845611,68115,0.9017
bu2-009,36096710776,completed,,52.0,False,5,5,0,False,468,73,465414,6719915,99523,1.2263
bu2-010,36096712824,completed,,20.0,False,3,7,0,False,309,64,338003,4423454,54410,0.7893
bu2-011,36096705033,completed,,46.0,False,5,4,0,False,456,56,297081,4198317,69664,0.7989
bu2-012,36096706903,completed,,64.0,False,6,3,0,False,477,44,221671,2093579,50658,0.5132
bu2-013,36096708582,completed,,66.0,False,6,3,1,False,902,70,471804,8880217,106793,1.4203
bu2-014,36096710776,completed,,0,False,6,4,0,True,600,49,244816,2831910,71603,0.6645
bu2-015,36096712824,completed,,40.0,False,5,6,0,False,720,74,415847,7405992,95867,1.2268
bu2-016,36096705033,completed,,100.0,True,10,0,0,False,346,63,290704,3726593,52531,0.6945
bu2-017,36096706903,completed,,88.0,False,9,1,0,False,497,71,344916,5058866,69988,0.9006
bu2-018,36096708582,completed,,37.0,False,5,5,0,False,459,89,464956,10178182,60259,1.3381
bu2-019,36096710776,completed,,58.0,False,6,5,0,False,525,83,450013,9222920,74517,1.3087
bu2-020,36096712824,completed,,65.0,False,7,2,0,False,291,48,220581,2714909,27734,0.4731
bu2-021,36096705033,completed,,0,False,10,0,0,False,965,132,670007,21116083,94804,2.4417
bu2-022,36096706903,completed,,38.0,False,4,6,0,False,433,85,373671,5126458,45265,0.8345
bu2-023,36096708582,completed,,100.0,True,9,0,0,False,472,91,406559,5969106,64232,0.9935
bu2-024,36096710776,completed,,48.0,False,5,5,0,False,578,101,452915,8249745,70323,1.2221
bu2-025,36096712824,completed,,54.0,False,6,4,0,False,519,62,388648,6308908,74553,1.0442
bu2-026,36096705033,completed,,47.0,False,5,5,0,False,297,52,276700,3557588,47079,0.6509
bu2-027,36096706903,completed,,63.0,False,7,3,0,False,384,58,311510,4547530,49917,0.7619
bu2-028,36096708582,completed,,100.0,True,10,0,0,False,485,76,346410,5629161,65545,0.9278
bu2-029,36096710776,completed,,70.0,False,8,2,0,False,503,74,393886,7257875,76670,1.1273
bu2-030,36096712824,completed,,63.0,False,6,4,0,False,548,88,416143,7730554,67658,1.1456
bu2-031,36096705033,completed,,28.0,False,4,6,0,False,555,59,291900,3866643,79380,0.8066
bu2-032,36096706903,completed,,52.0,False,6,4,0,False,463,73,378111,6783674,83290,1.1047
bu2-033,36096708582,completed,,58.0,False,7,3,0,False,438,56,253072,3190051,55857,0.6385
bu2-034,36096710776,completed,,100.0,True,10,0,0,False,1093,94,536258,13849693,80516,1.7429
bu2-035,36096712824,completed,,100.0,True,10,0,0,False,237,34,204088,2399290,38233,0.4764
bu2-036,36096705033,completed,,88.0,False,9,1,0,False,280,48,302801,4641000,54020,0.7778
bu2-037,36096706903,completed,,82.0,False,9,1,0,False,551,55,243904,3561458,68019,0.7051
bu2-038,36096708582,completed,,76.0,False,6,2,0,False,270,42,196342,2282222,36582,0.4556
bu2-039,36096710776,completed,,65.0,False,6,3,0,False,376,57,385355,3071933,53080,0.7185
bu2-040,36096712824,completed,,52.0,False,6,4,0,False,1047,121,690042,19359165,102605,2.3542
bu2-041,36096705033,completed,,0,False,3,6,0,True,851,70,324659,5162348,108856,1.0389
bu2-042,36096706903,completed,,39.0,False,4,5,0,False,510,50,350843,5985052,66252,0.9605
bu2-043,36096708582,completed,,82.0,False,8,1,0,False,774,157,895345,22801541,70713,2.6468
bu2-044,36096710776,completed,,67.0,False,6,3,0,False,612,43,226383,3232500,51992,0.6072
bu2-045,36096712824,completed,,74.0,False,8,2,0,False,880,106,699914,14729814,113942,2.057
bu2-046,36096705033,completed,,70.0,False,8,2,0,False,256,67,435614,7176360,36937,1.0035
bu2-047,36096706903,completed,,86.0,False,8,1,0,False,762,96,662497,7879203,87533,1.4161
bu2-048,36096708582,completed,,88.0,False,9,1,0,False,496,82,382420,7646490,68069,1.1156
bu2-049,36096710776,completed,,0,False,7,3,0,True,693,59,277461,3872668,81663,0.8048
bu2-050,36096712824,completed,,68.0,False,8,3,0,False,571,76,393998,6739541,78256,1.0944
bu2-051,36096705033,completed,,56.0,False,8,4,0,False,400,70,363187,5257958,53657,0.868
bu2-052,36096706903,completed,,86.0,False,9,1,0,False,274,46,236151,3367976,47536,0.608
bu2-053,36096708582,completed,,68.0,False,7,3,0,False,327,48,258823,3342168,60202,0.6705
bu2-054,36096710776,completed,,76.0,False,8,2,0,False,387,65,296297,4042770,56153,0.736
bu2-055,36096712824,completed,,38.0,False,4,6,0,False,623,80,442798,6565835,117602,1.2655
