task_id,public_subset,shard_run,status,failure_class,score,perfect,duration_s
bu2-001,True,35926817626,completed,,100,True,334
bu2-002,True,,not_run,site unreachable (DNS) on run day,0,False,
bu2-003,True,35926829005,timeout,harness: status check timed out,0,False,229
bu2-004,True,35926817626,completed,,90,False,444
bu2-005,True,35927317893,completed,,100,True,192
bu2-006,True,35926829005,completed,,100,True,698
bu2-007,True,35926817626,completed,,100,True,343
bu2-008,True,35927317893,completed,,100,True,620
bu2-009,True,35926829005,completed,,100,True,503
bu2-010,True,35926817626,timeout,harness: status check timed out,32,False,471
bu2-011,True,35927317893,completed,,100,True,309
bu2-012,True,35926829005,completed,,88,False,478
bu2-013,True,35926817626,completed,,92,False,617
bu2-014,True,35927317893,completed,,100,True,428
bu2-015,True,35926829005,completed,,100,True,779
bu2-016,True,35926817626,completed,,100,True,262
bu2-017,True,35927317893,completed,,100,True,542
bu2-018,True,35926829005,completed,,73,False,396
bu2-019,True,35926817626,completed,,100,True,651
bu2-020,True,35927317893,completed,,100,True,285
bu2-021,True,35926829005,completed,,100,True,607
bu2-022,True,35926817626,completed,,100,True,396
bu2-023,True,35927317893,completed,,100,True,375
bu2-024,True,35926829005,completed,,100,True,641
bu2-025,True,35926817626,completed,,100,True,336
bu2-026,True,35927317893,completed,,100,True,339
bu2-027,True,35926829005,completed,,100,True,620
bu2-028,True,35926817626,completed,,100,True,355
bu2-029,True,35927317893,completed,,100,True,521
bu2-030,True,35926829005,completed,,100,True,357
bu2-031,True,35926817626,completed,,100,True,423
bu2-032,True,35927317893,completed,,100,True,790
bu2-033,True,35926829005,completed,,100,True,323
bu2-034,True,35926817626,completed,,100,True,758
bu2-035,True,35927317893,completed,,94,False,220
bu2-036,True,35926829005,completed,,100,True,358
bu2-037,True,35926817626,completed,,100,True,505
bu2-038,True,35927317893,completed,,100,True,312
bu2-039,True,35926829005,completed,,90,False,338
bu2-040,True,35926817626,completed,,100,True,1029
bu2-041,True,35927317893,completed,,100,True,755
bu2-042,True,35926829005,completed,,100,True,486
bu2-043,True,35926817626,completed,,100,True,366
bu2-044,True,35927317893,completed,,100,True,430
bu2-045,True,35926829005,completed,,100,True,485
bu2-046,True,35926817626,completed,,100,True,386
bu2-047,True,35927317893,completed,,100,True,727
bu2-048,True,35926829005,completed,,100,True,418
bu2-049,True,35926817626,completed,,100,True,481
bu2-050,True,35927317893,completed,,100,True,482
bu2-051,True,35926829005,completed,,100,True,512
bu2-052,True,35926817626,error,provider: content-safety stop,10,False,111
bu2-053,True,35927317893,completed,,100,True,402
bu2-054,True,35926829005,completed,,100,True,348
bu2-055,True,35926817626,completed,,92,False,399
bu2-056,False,35927317893,completed,,100,True,721
bu2-057,False,35926829005,completed,,100,True,131
bu2-058,False,35926817626,completed,,100,True,284
bu2-059,False,35927317893,completed,,100,True,496
bu2-060,False,35926829005,completed,,100,True,260
bu2-061,False,35926817626,completed,,54,False,358
bu2-062,False,35927317893,completed,,100,True,291
bu2-063,False,35926829005,completed,,100,True,1340
bu2-064,False,35926817626,completed,,100,True,210
bu2-065,False,35927317893,completed,,100,True,328
bu2-066,False,35926829005,completed,,94,False,341
bu2-067,False,35926817626,completed,,100,True,1115
bu2-068,False,35927317893,completed,,100,True,239
bu2-069,False,35926829005,completed,,86,False,409
bu2-070,False,35926817626,completed,,86,False,251
bu2-071,False,35927317893,timeout,harness: status check timed out,0,False,40
bu2-072,False,35926829005,completed,,100,True,159
bu2-073,False,35926817626,completed,,84,False,228
bu2-074,False,35927317893,timeout,agent: 30-minute limit,100,True,1800
bu2-075,False,35926829005,completed,,17,False,174
bu2-076,False,35926817626,completed,,86,False,974
bu2-077,False,35927317893,completed,,100,True,461
bu2-078,False,35926829005,completed,,100,True,228
bu2-079,False,35926817626,completed,,90,False,171
bu2-080,False,35927317893,completed,,100,True,249
bu2-081,False,35926829005,completed,,62,False,380
bu2-082,False,35926817626,completed,,84,False,190
bu2-083,False,35927317893,completed,,100,True,263
bu2-084,False,35926829005,completed,,100,True,434
bu2-085,False,35926817626,completed,,100,True,314
bu2-086,False,35927317893,completed,,51,False,143
bu2-087,False,35926829005,completed,,100,True,380
bu2-088,False,35926817626,completed,,32,False,381
bu2-089,False,35927317893,completed,,90,False,262
bu2-090,False,35926829005,completed,,100,True,290
bu2-091,False,35926817626,completed,,48,False,264
bu2-092,False,35927317893,completed,,100,True,265
bu2-093,False,35926829005,completed,,86,False,238
bu2-094,False,35926817626,completed,,30,False,62
bu2-095,False,35927317893,timeout,harness: status check timed out,0,False,350
bu2-096,False,35926829005,completed,,100,True,1141
bu2-097,False,35926817626,completed,,37,False,899
bu2-098,False,35927317893,completed,,100,True,782
bu2-099,False,35926829005,completed,,100,True,1149
bu2-100,False,35926817626,completed,,100,True,315
bu2-101,False,35927317893,completed,,100,True,294
bu2-102,False,35926829005,completed,,100,True,492
bu2-103,False,35926817626,completed,,100,True,374
bu2-104,False,35927317893,completed,,16,False,280
bu2-105,False,35926829005,completed,,52,False,272
bu2-106,False,35926817626,completed,,100,True,318
bu2-107,False,35927317893,completed,,82,False,416
bu2-108,False,35926829005,completed,,21,False,227
bu2-109,False,35926817626,completed,,100,True,118
bu2-110,False,35927317893,completed,,84,False,236
bu2-111,False,35926829005,completed,,92,False,508
bu2-112,False,35926817626,completed,,100,True,241
bu2-113,False,35927317893,completed,,46,False,344
bu2-114,False,35926829005,completed,,84,False,132
bu2-115,False,35926817626,completed,,100,True,609
bu2-116,False,35927317893,completed,,84,False,331
bu2-117,False,35926829005,completed,,100,True,343
bu2-118,False,35926817626,completed,,86,False,164
bu2-119,False,35927317893,completed,,10,False,287
bu2-120,False,35926829005,error,provider: HTTP 400,49,False,221
