task_id,level,website,reported,status,success,verdict,webjudge,rubrics_passed,rubrics_total,rubric_score,blocked,duration_s,llm_calls,tool_calls,cost_usd
b7258ee05d75e6c50673a59914db412e_110325,medium,https://www.traderjoes.com/,true,completed,true,success,success,,,,,125,35,34,0.5122
ade4c09ad3fdb1607209750924cd232f,easy,https://www.flightaware.com/,true,completed,true,success,success,,,,,70,16,15,0.1176
fb7b4f784cfde003e2548fdf4e8d6b4f,medium,https://www.discogs.com/,true,completed,true,success,success,,,,,65,19,18,0.1378
824eb7bb0ef1ce40bfd49c12182d9428_110325,hard,https://us.speedo.com/,true,completed,true,success,success,,,,,251,44,43,0.5954
046138801a05ddf56ad94e8672942496,medium,https://www.flightaware.com/,true,completed,true,success,success,,,,,54,14,13,0.1010
92a3d4236f167af4afdc08876a902ba6,medium,https://www.carmax.com/,true,completed,true,success,success,,,,,44,6,5,0.0669
48c73f3f53e2611c4a1052457c1033db,medium,https://new.mta.info/,true,completed,true,success,success,,,,,116,35,34,0.2838
8f2611047de227a2ca8bda13f6e2e5fb_110325,hard,https://www.carvana.com/,true,completed,true,success,success,,,,,170,27,26,0.2331
b320c68bffc1f3c7f2a8dc9d5478fb27,medium,https://www.ign.com/,true,completed,true,success,success,,,,,105,25,24,0.4864
aa4b5cb7114fcc138ade82b4b9716d24,medium,https://www.ign.com/,true,completed,true,success,success,,,,,107,20,19,0.1523
005be9dd91c95669d6ddde9ae667125c,easy,https://www.qatarairways.com/,true,completed,true,success,success,,,,,43,15,14,0.1029
323bd85e3559655d89e5496b951a25e8,medium,https://www.amtrak.com/,true,completed,true,success,success,,,,,118,20,19,0.1416
123e8c2fc453f55fadd1d0b9aaf94df4,medium,https://www.kbb.com/,true,completed,true,success,success,,,,,205,54,53,1.0712
56f8890a837c49f7df766b9c981646f3,medium,https://www.imdb.com/,true,completed,true,success,success,,,,,42,9,8,0.0629
644a856c3897665e475e0dce50bf217d,medium,https://www.amazon.com/,true,completed,true,success,success,,,,,148,38,37,0.3563
